date,oni,roni,phase
2009-02-01,-0.79,-0.85,La Nina
2009-03-01,-0.61,-0.67,La Nina
2009-04-01,-0.33,-0.42,Neutral
2009-05-01,0.01,-0.11,Neutral
2009-06-01,0.28,0.13,Neutral
2009-07-01,0.45,0.25,Neutral
2009-08-01,0.58,0.39,El Nino
2009-09-01,0.71,0.56,El Nino
2009-10-01,1.01,0.94,El Nino
2009-11-01,1.36,1.34,El Nino
2009-12-01,1.56,1.56,El Nino
2010-01-01,1.5,1.45,El Nino
2010-02-01,1.22,1.11,El Nino
2010-03-01,0.84,0.64,El Nino
2010-04-01,0.35,0.05,Neutral
2010-05-01,-0.17,-0.53,Neutral
2010-06-01,-0.66,-0.99,La Nina
2010-07-01,-1.05,-1.28,La Nina
2010-08-01,-1.35,-1.51,La Nina
2010-09-01,-1.56,-1.68,La Nina
2010-10-01,-1.64,-1.74,La Nina
2010-11-01,-1.64,-1.72,La Nina
2010-12-01,-1.54,-1.63,La Nina
2011-01-01,-1.31,-1.43,La Nina
2011-02-01,-1.04,-1.19,La Nina
2011-03-01,-0.8,-0.92,La Nina
2011-04-01,-0.62,-0.69,La Nina
2011-05-01,-0.46,-0.48,Neutral
2011-06-01,-0.37,-0.34,Neutral
2011-07-01,-0.43,-0.38,Neutral
2011-08-01,-0.58,-0.51,La Nina
2011-09-01,-0.79,-0.74,La Nina
2011-10-01,-0.96,-0.94,La Nina
2011-11-01,-1.02,-1.05,La Nina
2011-12-01,-0.92,-0.99,La Nina
2012-01-01,-0.72,-0.82,La Nina
2012-02-01,-0.57,-0.65,La Nina
2012-03-01,-0.46,-0.56,Neutral
2012-04-01,-0.36,-0.47,Neutral
2012-05-01,-0.17,-0.27,Neutral
2012-06-01,0.06,0.03,Neutral
2012-07-01,0.3,0.34,Neutral
2012-08-01,0.41,0.43,Neutral
2012-09-01,0.41,0.4,Neutral
2012-10-01,0.31,0.23,Neutral
2012-11-01,0.13,-0.06,Neutral
2012-12-01,-0.1,-0.38,Neutral
2013-01-01,-0.29,-0.63,Neutral
2013-02-01,-0.29,-0.6,Neutral
2013-03-01,-0.21,-0.5,Neutral
2013-04-01,-0.19,-0.43,Neutral
2013-05-01,-0.27,-0.44,Neutral
2013-06-01,-0.34,-0.43,Neutral
2013-07-01,-0.35,-0.38,Neutral
2013-08-01,-0.28,-0.32,Neutral
2013-09-01,-0.21,-0.28,Neutral
2013-10-01,-0.13,-0.22,Neutral
2013-11-01,-0.1,-0.22,Neutral
2013-12-01,-0.15,-0.33,Neutral
2014-01-01,-0.28,-0.49,Neutral
2014-02-01,-0.32,-0.53,Neutral
2014-03-01,-0.14,-0.33,Neutral
2014-04-01,0.15,-0.05,Neutral
2014-05-01,0.31,0.07,Neutral
2014-06-01,0.23,-0.01,Neutral
2014-07-01,0.1,-0.13,Neutral
2014-08-01,0.11,-0.09,Neutral
2014-09-01,0.28,0.08,Neutral
2014-10-01,0.54,0.36,El Nino
2014-11-01,0.71,0.52,El Nino
2014-12-01,0.77,0.56,El Nino
2015-01-01,0.69,0.45,El Nino
2015-02-01,0.61,0.38,El Nino
2015-03-01,0.65,0.45,El Nino
2015-04-01,0.81,0.61,El Nino
2015-05-01,1.02,0.82,El Nino
2015-06-01,1.25,1.03,El Nino
2015-07-01,1.57,1.33,El Nino
2015-08-01,1.91,1.64,El Nino
2015-09-01,2.21,1.93,El Nino
2015-10-01,2.47,2.18,El Nino
2015-11-01,2.64,2.34,El Nino
2015-12-01,2.75,2.37,El Nino
2016-01-01,2.63,2.22,El Nino
2016-02-01,2.28,1.84,El Nino
2016-03-01,1.71,1.28,El Nino
2016-04-01,1.05,0.54,El Nino
2016-05-01,0.49,-0.06,Neutral
2016-06-01,0.0,-0.56,Neutral
2016-07-01,-0.31,-0.86,Neutral
2016-08-01,-0.5,-1.0,La Nina
2016-09-01,-0.58,-1.07,La Nina
2016-10-01,-0.64,-1.11,La Nina
2016-11-01,-0.6,-1.08,La Nina
2016-12-01,-0.45,-0.99,Neutral
2017-01-01,-0.19,-0.74,Neutral
2017-02-01,-0.02,-0.54,Neutral
2017-03-01,0.18,-0.27,Neutral
2017-04-01,0.31,-0.09,Neutral
2017-05-01,0.4,0.05,Neutral
2017-06-01,0.39,0.05,Neutral
2017-07-01,0.19,-0.17,Neutral
2017-08-01,-0.07,-0.46,Neutral
2017-09-01,-0.34,-0.73,Neutral
2017-10-01,-0.6,-0.99,La Nina
2017-11-01,-0.77,-1.15,La Nina
2017-12-01,-0.86,-1.26,La Nina
2018-01-01,-0.77,-1.12,La Nina
2018-02-01,-0.71,-1.04,La Nina
2018-03-01,-0.57,-0.88,La Nina
2018-04-01,-0.39,-0.67,Neutral
2018-05-01,-0.13,-0.31,Neutral
2018-06-01,0.06,-0.04,Neutral
2018-07-01,0.14,0.05,Neutral
2018-08-01,0.27,0.16,Neutral
2018-09-01,0.53,0.4,El Nino
2018-10-01,0.81,0.65,El Nino
2018-11-01,0.97,0.77,El Nino
2018-12-01,0.92,0.67,El Nino
2019-01-01,0.89,0.62,El Nino
2019-02-01,0.86,0.62,El Nino
2019-03-01,0.84,0.6,El Nino
2019-04-01,0.77,0.52,El Nino
2019-05-01,0.64,0.34,El Nino
2019-06-01,0.52,0.21,El Nino
2019-07-01,0.33,0.03,Neutral
2019-08-01,0.19,-0.1,Neutral
2019-09-01,0.23,-0.03,Neutral
2019-10-01,0.39,0.12,Neutral
2019-11-01,0.58,0.23,El Nino
2019-12-01,0.66,0.2,El Nino
2020-01-01,0.64,0.11,El Nino
2020-02-01,0.63,0.08,El Nino
2020-03-01,0.53,-0.03,El Nino
2020-04-01,0.3,-0.28,Neutral
2020-05-01,0.01,-0.56,Neutral
2020-06-01,-0.23,-0.76,Neutral
2020-07-01,-0.36,-0.81,Neutral
2020-08-01,-0.53,-0.93,La Nina
2020-09-01,-0.85,-1.23,La Nina
2020-10-01,-1.12,-1.47,La Nina
2020-11-01,-1.2,-1.54,La Nina
2020-12-01,-1.08,-1.37,La Nina
2021-01-01,-0.91,-1.18,La Nina
2021-02-01,-0.79,-1.04,La Nina
2021-03-01,-0.71,-0.98,La Nina
2021-04-01,-0.55,-0.79,La Nina
2021-05-01,-0.39,-0.61,Neutral
2021-06-01,-0.3,-0.52,Neutral
2021-07-01,-0.35,-0.59,Neutral
2021-08-01,-0.45,-0.72,Neutral
2021-09-01,-0.63,-0.92,La Nina
2021-10-01,-0.76,-1.06,La Nina
2021-11-01,-0.91,-1.23,La Nina
2021-12-01,-0.87,-1.24,La Nina
2022-01-01,-0.82,-1.22,La Nina
2022-02-01,-0.79,-1.22,La Nina
2022-03-01,-0.86,-1.28,La Nina
2022-04-01,-0.95,-1.34,La Nina
2022-05-01,-0.9,-1.22,La Nina
2022-06-01,-0.78,-0.99,La Nina
2022-07-01,-0.76,-0.91,La Nina
2022-08-01,-0.87,-1.01,La Nina
2022-09-01,-0.97,-1.14,La Nina
2022-10-01,-0.94,-1.12,La Nina
2022-11-01,-0.85,-1.05,La Nina
2022-12-01,-0.71,-0.97,La Nina
2023-01-01,-0.54,-0.83,La Nina
2023-02-01,-0.29,-0.62,Neutral
2023-03-01,-0.02,-0.44,Neutral
2023-04-01,0.27,-0.21,Neutral
2023-05-01,0.57,0.07,El Nino
2023-06-01,0.84,0.37,El Nino
2023-07-01,1.12,0.62,El Nino
2023-08-01,1.37,0.85,El Nino
2023-09-01,1.6,1.1,El Nino
2023-10-01,1.83,1.35,El Nino
2023-11-01,1.99,1.49,El Nino
2023-12-01,2.06,1.45,El Nino
2024-01-01,1.92,1.2,El Nino
2024-02-01,1.62,0.85,El Nino
2024-03-01,1.26,0.49,El Nino
2024-04-01,0.82,0.05,El Nino
2024-05-01,0.49,-0.26,Neutral
2024-06-01,0.22,-0.46,Neutral
2024-07-01,0.08,-0.51,Neutral
2024-08-01,-0.07,-0.64,Neutral
2024-09-01,-0.17,-0.76,Neutral
2024-10-01,-0.21,-0.82,Neutral
2024-11-01,-0.3,-0.94,Neutral
2024-12-01,-0.42,-1.08,Neutral
2025-01-01,-0.45,-1.13,Neutral
2025-02-01,-0.24,-0.9,Neutral
2025-03-01,-0.06,-0.67,Neutral
2025-04-01,0.02,-0.52,Neutral
2025-05-01,-0.02,-0.49,Neutral
2025-06-01,-0.04,-0.43,Neutral
2025-07-01,-0.14,-0.47,Neutral
2025-08-01,-0.28,-0.63,Neutral
2025-09-01,-0.4,-0.77,Neutral
2025-10-01,-0.51,-0.87,La Nina
2025-11-01,-0.55,-0.93,La Nina
2025-12-01,-0.54,-0.97,La Nina
2026-01-01,-0.37,-0.88,Neutral
2026-02-01,-0.14,-0.71,Neutral
2026-03-01,0.13,-0.45,Neutral
2026-04-01,0.48,-0.06,Neutral
